uf;2002.00;2003.00;2004.00;2005.00;2006.00;2007.00;2008.00;2009.00;2010.00;2011.00;2012.00
AC;13.10;9.50;9.80;6.60;7.90;8.40;6.90;10.20;10.00;7.90;12.00
AP;10.30;14.80;13.90;9.40;12.50;10.40;11.40;10.80;15.80;11.50;16.70
AM;7.40;6.60;8.20;8.80;11.80;12.80;14.20;17.30;18.90;25.40;24.20
PA;11.50;13.80;15.40;18.00;19.60;20.60;28.10;28.80;34.60;28.30;28.80
RO;28.60;28.10;25.00;26.60;26.20;21.40;20.40;24.00;23.60;19.20;22.50
RR;16.40;12.60;12.50;9.20;10.20;7.70;10.20;7.90;7.10;6.10;7.50
TO;8.70;11.70;9.50;7.70;8.60;7.40;9.00;10.90;10.50;11.80;13.40
AL;25.10;26.80;25.90;30.70;43.10;50.70;51.60;50.50;55.30;61.70;55.00
BA;15.60;17.20;16.70;16.80;18.80;21.70;30.20;34.80;34.40;31.80;36.30
CE;10.60;11.70;12.20;13.20;13.80;15.80;16.90;19.50;25.00;24.90;36.70
MA;4.90;6.30;6.10;8.60;8.50;10.40;12.20;13.50;13.80;15.20;18.40
PB;12.90;13.70;13.70;15.90;18.40;19.00;20.90;27.80;32.80;37.00;33.00
PE;46.50;46.80;41.30;42.30;43.20;43.90;40.00;35.90;30.30;29.00;28.00
PI;5.50;6.80;6.20;6.10;8.00;7.90;6.60;7.30;8.00;9.50;11.20
RN;10.60;11.80;12.70;13.80;15.30;18.10;21.00;24.30;20.60;25.90;28.80
SE;22.40;19.40;16.70;16.90;21.20;17.60;19.50;22.40;23.00;25.50;31.20
ES;38.80;37.30;36.80;35.80;38.20;39.50;43.70;45.20;39.40;38.90;38.30
MG;12.00;16.00;18.10;16.90;16.60;16.10;14.80;14.10;13.40;16.10;17.00
RJ;49.10;45.80;43.30;41.00;38.70;35.50;30.70;28.80;26.40;21.90;22.10
SP;26.80;26.10;20.80;15.80;15.10;10.80;10.30;10.20;9.30;8.80;10.10
PR;16.90;19.30;20.70;21.30;22.70;23.10;25.30;26.60;26.40;23.60;24.30
RS;16.60;16.40;16.30;16.10;16.10;17.40;18.90;17.90;16.30;16.10;18.50
SC;7.40;8.70;7.90;7.90;7.50;7.70;9.70;9.30;8.50;8.50;8.60
DF;26.50;29.90;26.80;23.00;21.70;25.20;24.80;29.90;25.30;27.70;30.30
GO;18.00;16.70;18.20;17.10;17.00;17.20;22.10;21.10;22.00;26.00;31.70
MT;25.10;24.60;19.30;19.50;19.50;20.30;21.20;20.60;19.90;21.20;22.80
MS;22.10;22.30;19.10;17.30;18.20;18.50;17.90;19.60;14.80;15.90;14.30
