UF,Média da Mortes Não Esclarecidas por 100 mil hab. (2007 à 2015)
SP,0
AP,0.3706213333333333
PA,0.5224832137777778
MA,0.928857488375
AM,1.112865697111111
PB,1.126111867125
AC,1.4261012487142857
PI,1.9432292112222223
DF,2.169336619666667
BA,3.283207313666667
AL,3.65728351425
Brasil,5.044858792888889
RN,5.050733441285714
ES,5.830243432125
PR,6.5153092015
TO,7.686655069555555
MT,8.172346457666666
CE,8.43780156811111
MG,9.062713385
SC,10.019681535666667
PE,10.078624807333334
RS,10.119083462833334
SE,13.593098246111111
RJ,13.662611355
RR,14.79113814
RO,16.578428681666665
GO,18.124813269666667
MS,20.990655653
