UF,Média da Taxa Outros Letais por 100 mil hab. (2007 à 2015)
PA,11.455229535
SP,11.603633439
AM,11.826588387125
AP,12.187387333375002
MG,17.804758607
RN,18.2177910285
MA,18.721897542857143
PB,19.64322132
BA,19.837649103875002
PE,23.02954916666667
PI,23.760691922375
AC,24.3768943728
AL,26.02322001
ES,29.3690766418
CE,31.3440095376
SE,33.113463676857144
DF,33.1668108986
RJ,34.796896319333335
GO,37.1749604976
MT,37.959525910125
RS,39.177677164
MS,39.671086007999996
RR,40.678673994
PR,40.738464844000006
TO,41.27140286255556
SC,44.263518596000004
RO,46.649701501222225
