UF,Média da Taxa Suicídio (2007 à 2015)
SE,1.3190774277777777
AM,1.5491970754444444
MA,1.5493758496666667
PA,1.7632499416666667
RJ,1.923351936125
AP,1.9637714037777776
RN,2.3454626711428572
PB,2.371489527
PI,2.399569639666667
BA,2.769181912
GO,2.9909458453333335
Brasil,3.1651731077777776
PR,3.174014137625
ES,3.269216302555556
AL,3.2978688064444444
SP,3.33316176475
PE,3.5134201622222223
TO,3.7927073563333336
AC,4.072246780857143
RO,4.386116219333333
CE,4.600013473555555
RR,4.677225641222222
DF,4.71866251375
MG,4.979364009777778
MT,5.004815171
MS,5.449069262
SC,8.493547705333334
RS,8.687001093875
