UF,Taxa de Tentativa de Homicídio por 100 mil hab.. (2016 e 2017),NA
AC,tent_hom_2016,29.26
AL,tent_hom_2016,17.15
AP,tent_hom_2016,37.71
AM,tent_hom_2016,9.65
BA,tent_hom_2016,18.06
CE,tent_hom_2016,15.5
DF,tent_hom_2016,31.84
ES,tent_hom_2016,57.23
GO,tent_hom_2016,45.85
MA,tent_hom_2016,17.89
MT,tent_hom_2016,43.32
MS,tent_hom_2016,30.98
MG,tent_hom_2016,23.95
PA,tent_hom_2016,17.68
PB,tent_hom_2016,7.03
PR,tent_hom_2016,6.55
PE,tent_hom_2016,38.13
PI,tent_hom_2016,22.91
RJ,tent_hom_2016,23.79
RN,tent_hom_2016,11.54
RS,tent_hom_2016,35.66
RO,tent_hom_2016,48.51
RR,tent_hom_2016,NA
SC,tent_hom_2016,21.14
SP,tent_hom_2016,9.2
SE,tent_hom_2016,15.8
TO,tent_hom_2016,22.25
AC,tent_hom_2017,53.28
AL,tent_hom_2017,20.05
AP,tent_hom_2017,33.34
AM,tent_hom_2017,6.52
BA,tent_hom_2017,17.95
CE,tent_hom_2017,14.21
DF,tent_hom_2017,29.84
ES,tent_hom_2017,62
GO,tent_hom_2017,36.66
MA,tent_hom_2017,15.33
MT,tent_hom_2017,39.35
MS,tent_hom_2017,30.55
MG,tent_hom_2017,20.55
PA,tent_hom_2017,16.59
PB,tent_hom_2017,6.51
PR,tent_hom_2017,6.55
PE,tent_hom_2017,44.84
PI,tent_hom_2017,19.73
RJ,tent_hom_2017,22.29
RN,tent_hom_2017,8.98
RS,tent_hom_2017,33.17
RO,tent_hom_2017,41.98
RR,tent_hom_2017,NA
SC,tent_hom_2017,21.71
SP,tent_hom_2017,8.46
SE,tent_hom_2017,14.86
TO,tent_hom_2017,21.42
AC,diff_hom,24.02
AL,diff_hom,2.900000000000002
AP,diff_hom,-4.3699999999999974
AM,diff_hom,-3.130000000000001
BA,diff_hom,-0.10999999999999943
CE,diff_hom,-1.2899999999999991
DF,diff_hom,-2
ES,diff_hom,4.770000000000003
GO,diff_hom,-9.190000000000005
MA,diff_hom,-2.5600000000000005
MT,diff_hom,-3.969999999999999
MS,diff_hom,-0.4299999999999997
MG,diff_hom,-3.3999999999999986
PA,diff_hom,-1.0899999999999999
PB,diff_hom,-0.5200000000000005
PR,diff_hom,0
PE,diff_hom,6.710000000000001
PI,diff_hom,-3.1799999999999997
RJ,diff_hom,-1.5
RN,diff_hom,-2.5599999999999987
RS,diff_hom,-2.489999999999995
RO,diff_hom,-6.530000000000001
RR,diff_hom,NA
SC,diff_hom,0.5700000000000003
SP,diff_hom,-0.7399999999999984
SE,diff_hom,-0.9400000000000013
TO,diff_hom,-0.8299999999999983
